Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
act1_516b24e6	ed	Ilona told me once to hold onto hope… What’s done is done.	game/scripts/acts/act1.rpy	1120	ed "[what]"
act1_18d068b3	ed	(But today was a disaster, how could I lose my composure? I was practically dripping with sweat. I know for a fact that Uldin must have noticed that. Sooner or later, I’m a dead man.)	game/scripts/acts/act1.rpy	1122	ed "[what]"
act1_42527593	ed	(And I will bring Ilona down with me.)	game/scripts/acts/act1.rpy	1124	ed "[what]"
act1_e5128f98	ed	Ilona… my-my darling…	game/scripts/acts/act1.rpy	1128	ed "[what]"
act1_339bd34e	ed	I wish I could say these words to your face…	game/scripts/acts/act1.rpy	1130	ed "[what]"
act1_54ad31e7	ed	What a fool I am for having kept my affection a secret from you...	game/scripts/acts/act1.rpy	1134	ed "[what]"
act1_09b5acf2	ed	(Because now…)	game/scripts/acts/act1.rpy	1139	ed "[what]"
act1_8d94a577	ed	(Now I don’t think I’ll get another chance to say what I want to say… I can feel the hysteria building up within me.)	game/scripts/acts/act1.rpy	1141	ed "[what]"
act1_1d5b2161	ed	(Expanding like it’s never before. Rising, so far… Far, far away…from my control.)	game/scripts/acts/act1.rpy	1143	ed "[what]"
act1_cbfe9ac4	ed	But I promise you this, Ilona:	game/scripts/acts/act1.rpy	1145	ed "[what]"
act1_b6bfe322	ed	I am not going to hurt you. I am going to do right by you. I am not going to hurt anyone who’s innocent.	game/scripts/acts/act1.rpy	1152	ed "[what]"
act1_d577f669	ed	It may seem the other way around, but whatever I do;	game/scripts/acts/act1.rpy	1154	ed "[what]"
act1_ccfa63e0	ed	I will have a damn good reason for it.	game/scripts/acts/act1.rpy	1158	ed "[what]"
act1_74657d71		Ilona stayed after Edwin's exit to ask Uldin and Eisleigh about the nature of curses, but the conversation that followed was dense and difficult.	game/scripts/acts/act1.rpy	1177	"[what]"
act1_4faa3311		By that point, Fleur took her leave, no longer interested in the dry and tiring conversation at hand.	game/scripts/acts/act1.rpy	1183	"[what]"
act1_7a9e3e9c		Ilona tried her best to keep up. Uldin tried to challenge her with theories that needed to be formed on the spot and, at times, it turned into a messy debate.	game/scripts/acts/act1.rpy	1188	"[what]"
act1_47f4bd1b		The rest of the party retired to bed before midnight.	game/scripts/acts/act1.rpy	1193	"[what]"
act1_9f0c523b		When Salome entered, she became the mediator of peace and that was when everyone agreed to call it a night, departing from the main hall on friendly terms.	game/scripts/acts/act1.rpy	1195	"[what]"
act1_34ec0e68		Salome ushered a rather drunk Uldin back to bed. Eisleigh showed Ilona to the room that was prepared for her, and they bid each other a good night.	game/scripts/acts/act1.rpy	1207	"[what]"
act1_a0e2d849		Ilona opens the door and wonders for a moment if she wants to lock it. Her head is swimming — either from the spiced wine or the meandering conversation.	game/scripts/acts/act1.rpy	1214	"[what]"
act1_54904a41	il	(Ed… I wonder how he's doing. That conversation earlier really took a turn for the worse for him.)	game/scripts/acts/act1.rpy	1225	il "[what]"
act1_52c842ef		His room is on the right side of hers, and Kellac’s on the left.	game/scripts/acts/act1.rpy	1227	"[what]"
act1_cb8a6888		Ilona presses her ear up to the wall separating her and Edwin's room, but hears nothing from the other side.	game/scripts/acts/act1.rpy	1230	"[what]"
act1_474ebfc9	il	(Not a sound. He's probably asleep.)	game/scripts/acts/act1.rpy	1233	il "[what]"
act1_5d07d0d2	il	(I should get some rest too, so we can both leave early tomorrow. The people here are kind, but there's too much risk if we stay… We have to keep moving.)	game/scripts/acts/act1.rpy	1238	il "[what]"
act1_5d7f3823		She thinks of going to see him, to maybe knock on his door and to check up on him.	game/scripts/acts/act1.rpy	1240	"[what]"
act1_580fcfb0		However, in the end she decides not to. Ilona can only trust him to be cautious. She could not continue to worry about him; it would make her restless…	game/scripts/acts/act1.rpy	1242	"[what]"
act1_3b33a368		Ilona wonders if she should leave her door unlocked, in case he wants to speak to her.	game/scripts/acts/act1.rpy	1250	"[what]"
act1_127623ed		It seems risky, but Ilona is more than used to sleeping in a communal space in the priory… Having a private room feels like an excessive luxury.	game/scripts/acts/act1.rpy	1252	"[what]"
act1_4a24cfd1		Though, there are strangers in the house, and some of them are men…	game/scripts/acts/act1.rpy	1254	"[what]"
act1_38e9badb		… Edwin would have wanted her door locked.	game/scripts/acts/act1.rpy	1256	"[what]"
act1_937c07d8	extend	 She goes to the door and turns the key in the keyhole, hearing a reassuring click.	game/scripts/acts/act1.rpy	1258	extend "[what]"
act1_b6d8b93f		After a silent prayer, she crawls into bed. Lying there, she feels a sense of unease and restlessness, and also feels strangely awake.	game/scripts/acts/act1.rpy	1263	"[what]"
act1_4cb951e5		Ilona closes her eyes and tries to drift into sleep. Within the peaceful silence of the manse, rest comes to her easier than expected.	game/scripts/acts/act1.rpy	1268	"[what]"
act1_7f8817d7		The piercing sound of a howl wakes Kellac first, followed shortly by a woman's loud scream.	game/scripts/acts/act1.rpy	1285	"[what]"
act1_2df9fd20	extend	 His door opens with a slam, sensing something is incredibly wrong…	game/scripts/acts/act1.rpy	1287	extend "[what]"
act1_374b170f		Ilona hears footsteps rush past her room, and her eyes flutter open; registering what woke her.	game/scripts/acts/act1.rpy	1293	"[what]"
act1_28942b91	extend	 She puts on her habit, covering her head, and hurries out the door.	game/scripts/acts/act1.rpy	1295	extend "[what]"
act1_4ec84bfb		Kellac stops on the stairwell when he sees her, turning his head back to see Ilona. Edwin is not with him. She looks to the door next to hers, on the right.	game/scripts/acts/act1.rpy	1302	"[what]"
act1_fe342a84	ke	There's no time to lose! See if you can wake him up, I'm going on ahead!	game/scripts/acts/act1.rpy	1305	ke "[what]"
act1_c93fd511		He runs up the stairs. For a man who always seems so weary, there is a vivacity in his face now that danger is present.	game/scripts/acts/act1.rpy	1310	"[what]"
act1_b65d4f37		Ilona knocks on Edwin's door, listening for any sign of life in the room.	game/scripts/acts/act1.rpy	1317	"[what]"
act1_8e4a4964	il	Edwin? It's Ilona!	game/scripts/acts/act1.rpy	1323	il "[what]"
act1_16b8cb94		Silence.	game/scripts/acts/act1.rpy	1325	"[what]"
act1_6084fd22		She knocks again, this time urgently. Still, there is nothing coming from the other side of the room.	game/scripts/acts/act1.rpy	1330	"[what]"
act1_a18e5ee3		She turns the handle. The door is locked, and there is no reply…	game/scripts/acts/act1.rpy	1333	"[what]"
act1_c42b4314	il	No… Please, no…	game/scripts/acts/act1.rpy	1336	il "[what]"
act1_0bfc417b		Ilona feels her heart lurch.	game/scripts/acts/act1.rpy	1342	"[what]"
act1_700e7351		She stumbles up the stairs, finding Kellac at the door to what seems to be the master’s chambers.	game/scripts/acts/act1.rpy	1345	"[what]"
act1_47acac77		He knocks urgently, and tries ramming the door with his shoulders, but grunts when the door wouldn't budge.	game/scripts/acts/act1.rpy	1352	"[what]"
act1_e2eb47a2	ke	It's no use! Damn it! If only I was stronger…	game/scripts/acts/act1.rpy	1357	ke "[what]"
act1_c93ae5a1	ke	I'm going to get Anari! Something's wrong.	game/scripts/acts/act1.rpy	1360	ke "[what]"
act1_77bf8781	ke	The servants' quarters are on the other side of the house, up the stairs. Get a master key for this door!	game/scripts/acts/act1.rpy	1371	ke "[what]"
act1_41d7a298		Ilona nods and follows Kellac's instructions, passing through the now empty hall and up the stairs.	game/scripts/acts/act1.rpy	1379	"[what]"
act1_ce1edf6f		She finds Eisleigh first, and explains the situation.	game/scripts/acts/act1.rpy	1387	"[what]"
act1_453c8c92		Eisleigh's eyes go wide and she fumbles in her long green robe, producing a dangling set of keys and nearly dropping them in her haste.	game/scripts/acts/act1.rpy	1391	"[what]"
act1_531a8d6c	ei	I- I have a copy of the master key. Come on! There's no time to waste!	game/scripts/acts/act1.rpy	1395	ei "[what]"
act1_b9cdd658		When they rush back to the masters' chambers, they realize there is no use for the master key. They find the door broken and battered, but no sign of Anari or Kellac yet.	game/scripts/acts/act1.rpy	1405	"[what]"
act1_6b4997ba		Traces of blood are on the door, with thick shards of wood splintering from its fractures.	game/scripts/acts/act1.rpy	1414	"[what]"
act1_1f55d02d		Ilona and Eisleigh enter the bedroom, stepping over part of the broken door. It smells strongly of blood and burnt hair.	game/scripts/acts/act1.rpy	1421	"[what]"
act1_416fc302		They lay their eyes on the blood-soaked bed sheets and the lifeless figure of Uldin.	game/scripts/acts/act1.rpy	1429	"[what]"
act1_7c5703be		His neck is mutilated; torn flesh hangs off of his body, and his eyes are blank.	game/scripts/acts/act1.rpy	1431	"[what]"
act1_483d1d0e		Eisleigh holds a hand over her mouth, and squeezes her eyes shut.	game/scripts/acts/act1.rpy	1434	"[what]"
act1_19c52cde		A figure of a man is hunched over a woman in a dress and makes his presence known. He turns to look at them.	game/scripts/acts/act1.rpy	1436	"[what]"
act1_5e7ecc9e		His yellow eyes give off an eerie glint, as though it were an animal's.	game/scripts/acts/act1.rpy	1438	"[what]"
act1_da07b632_1	il	Edwin…	game/scripts/acts/act1.rpy	1447	il "[what]"
act1_094b0fb2	ed	Don't come any closer! Stay away…	game/scripts/acts/act1.rpy	1456	ed "[what]"
act1_049b12ae		 It's hard to make out in the darkness, but his arms look huge, and beastly… the fur mixed with the blood of open wounds and bruises.	game/scripts/acts/act1.rpy	1458	"[what]"
act1_e94393da		With his body turned away, Ilona can’t tell who is in his arms, but she now sees a ring on his hand and chestnut brown hair…	game/scripts/acts/act1.rpy	1460	"[what]"
act1_b4543eb7		The sound of footsteps is heard again and Ilona knows immediately who it is.	game/scripts/acts/act1.rpy	1464	"[what]"
act1_1afee3d8	an	Get away from him, Ilona!	game/scripts/acts/act1.rpy	1473	an "[what]"
act1_3cd2ed69	an	I knew there was something wrong with him. I should've shot him dead when I had the chance…	game/scripts/acts/act1.rpy	1476	an "[what]"
act1_881b8357		This is not the cool and elegant Anari that Ilona had seen before. Instead, she disguises her sorrow with fury instead.	game/scripts/acts/act1.rpy	1478	"[what]"
act1_1b8aa973		Ilona can’t move. With Anari's arrow trained on them, Kellac rushes in; carrying a healer's kit.	game/scripts/acts/act1.rpy	1485	"[what]"
act1_e3574063		Edwin sets the body of the woman down and backs away. Kellac checks the unburned section of her wrist.	game/scripts/acts/act1.rpy	1488	"[what]"
act1_7b13da1f		There is only the sound of Kellac choking back his frustration and dismay.	game/scripts/acts/act1.rpy	1491	"[what]"
act1_5fe0230f	ke	I was too late… I'm so sorry… I couldn't save them.	game/scripts/acts/act1.rpy	1494	ke "[what]"
act1_309eb652		Kellac is on his knees, facing Salome's corpse.	game/scripts/acts/act1.rpy	1500	"[what]"
act1_ae546b4b		All the jovial cheer that he displayed since meeting Ilona vanishes, and he resembles a husk of a man.	game/scripts/acts/act1.rpy	1502	"[what]"
act1_6ce71e3b		Anari moves in after seeing that Edwin shows no signs of retaliation.	game/scripts/acts/act1.rpy	1508	"[what]"
act1_a3c2be9a	an	We need to restrain him. Fleur's gone missing…	game/scripts/acts/act1.rpy	1511	an "[what]"
act1_0333f167	ed	I didn't do it… I wasn't the one who did this.	game/scripts/acts/act1.rpy	1518	ed "[what]"
act1_7a4d96a4	an	An honest man would beg harder for his life. You sound like you've already accepted your execution.	game/scripts/acts/act1.rpy	1521	an "[what]"
act1_a5194e04	il	Wait! Please give us a minute. I… I want to talk to Edwin.	game/scripts/acts/act1.rpy	1527	il "[what]"
act1_a331b82f	an	…Fine. One minute, and no more. I'm sure you wouldn't be so stupid as to try anything… but be warned.	game/scripts/acts/act1.rpy	1530	an "[what]"
act1_8214f3a8		Ilona crouches down beside Edwin. His distant gaze lacks warmth and familiarity.	game/scripts/acts/act1.rpy	1548	"[what]"
act1_2946eda1	il	Edwin, can you hear me?	game/scripts/acts/act1.rpy	1551	il "[what]"
act1_8812655e_1	ed	…	game/scripts/acts/act1.rpy	1554	ed "[what]"
act1_d22814f6_1	il	Ed…	game/scripts/acts/act1.rpy	1557	il "[what]"
act1_a34ca774	ed	I-I am so sorry, Ilona. I wasn't able to control it… 	game/scripts/acts/act1.rpy	1560	ed "[what]"
act1_c1efbc98		Hearing him talk reassures her slightly. Ilona gingerly takes his wolf-like hands into hers. Even though his gaze is cold and stony, the hands still hold warmth.	game/scripts/acts/act1.rpy	1562	"[what]"
act1_d4fc9eb3	il	Do you swear that you didn't kill them?	game/scripts/acts/act1.rpy	1565	il "[what]"
act1_cb66659f	ed	When I entered the room, they were already like this.	game/scripts/acts/act1.rpy	1568	ed "[what]"
act1_20230349	il	Then— You weren't the one—	game/scripts/acts/act1.rpy	1571	il "[what]"
act1_5d8553a2	il	Something's wrong. Your hands… they're not turning back—	game/scripts/acts/act1.rpy	1574	il "[what]"
act1_d0d54a14	an	Stop — time's up.	game/scripts/acts/act1.rpy	1576	an "[what]"
act1_86f9510c		Anari's voice is enough to cut the two apart, and Ilona lets go of Edwin's hands immediately.	game/scripts/acts/act1.rpy	1585	"[what]"
act1_83101edb	an	I can't say that I trust you quite yet, Ilona.	game/scripts/acts/act1.rpy	1592	an "[what]"
act1_3d604a47	an	You seem like a clever girl... and who would dare suspect a nun of planning such a gruesome scene?	game/scripts/acts/act1.rpy	1595	an "[what]"
act1_7b3a0f96	an	Turn yourself in quietly, Edwin, and I'll make sure her interrogation isn't painful.	game/scripts/acts/act1.rpy	1598	an "[what]"
act1_0e1c5d98		Ilona isn't sure if Edwin obliged so easily because he feared for her safety, or if he truly has given up, like Anari said earlier. He wordlessly lets Anari bind him with chains.	game/scripts/acts/act1.rpy	1604	"[what]"
act1_2c693554		Anari escorts him forcefully out of the mansion, and takes him underground to a dungeon.	game/scripts/acts/act1.rpy	1613	"[what]"
act1_f1b47a22	extend	\nThe only thing Ilona sees before the doors close is Edwin's taciturn and listless expression.	game/scripts/acts/act1.rpy	1618	extend "[what]"
act1_48bbc809		With Edwin locked away, the remaining members of the party gather in the town square: Ilona, Eisleigh, Kellac and Anari.	game/scripts/acts/act1.rpy	1634	"[what]"
act1_f7f2a3f7		Nobody could find Fleur in the manse afterwards, her room and bed empty of her presence.	game/scripts/acts/act1.rpy	1645	"[what]"
act1_e26a684d		The sun has not risen yet, and the clouds are dark and looming. There's a damp chill in the air.	game/scripts/acts/act1.rpy	1647	"[what]"
act1_7a9b2cf3	ei	What now?	game/scripts/acts/act1.rpy	1652	ei "[what]"
act1_e2e53abc	an	It's obvious that Edwin is guilty… but I'm not sure what to do with the nun.	game/scripts/acts/act1.rpy	1655	an "[what]"
act1_685d9f8c	ke	Don't be hasty, Anari. There's a lot we don't know yet.	game/scripts/acts/act1.rpy	1658	ke "[what]"
act1_afce5cf0	ke	Besides, I'm certain I was the first one to wake up. I didn't see Ilona do anything suspicious.	game/scripts/acts/act1.rpy	1660	ke "[what]"
act1_97bc434c	ei	That matches up with what I saw of her. It just doesn't seem like something Ilona would do from what I know of her...	game/scripts/acts/act1.rpy	1665	ei "[what]"
act1_c66ce67c	an	What? You think she would let you in on her plots in one night?	game/scripts/acts/act1.rpy	1667	an "[what]"
act1_3a47088c	ei	…That's precisely it. She's awful at keeping secrets.	game/scripts/acts/act1.rpy	1670	ei "[what]"
act1_60b5e3a0	ei	If she really was involved, I don't think she would be able to hide it.	game/scripts/acts/act1.rpy	1673	ei "[what]"
act1_57da9afb		Anari tries hard to not grumble, though Eisleigh does have a point.	game/scripts/acts/act1.rpy	1676	"[what]"
act1_4516d16d	an	Ilona. Did you know that the man was a werewolf before entering this town?	game/scripts/acts/act1.rpy	1679	an "[what]"
act1_98719324	il	…Yes. In my presence, he's more capable of controlling his transformation.	game/scripts/acts/act1.rpy	1684	il "[what]"
act1_cc2a03ec	an	And yet you've been harbouring a monster, regardless of the consequences? Unfathomable…	game/scripts/acts/act1.rpy	1687	an "[what]"
act1_69888683	il	I am searching for a way to cure him of his curse. That is all.	game/scripts/acts/act1.rpy	1690	il "[what]"
act1_4b4a9796	il	Please, I honestly don't think he did it. There must be more to what happened - I can help you find it.	game/scripts/acts/act1.rpy	1693	il "[what]"
act1_99180585	ke	The town needs to know, we can't hide this for long. Not to mention, Fleur is still missing.	game/scripts/acts/act1.rpy	1696	ke "[what]"
act1_a34a650a	ke	As long as we keep an eye on Ilona as she investigates, I think it should be safe.	game/scripts/acts/act1.rpy	1699	ke "[what]"
act1_4ba00768		Anari sighs at Kellac's advice. Ilona can't help but to be thankful for his ability to sway Anari's opinions for even just a moment.	game/scripts/acts/act1.rpy	1704	"[what]"
act1_6d8b367e	an	Fine. Let her run around, just make sure someone keeps an eye on her, always.	game/scripts/acts/act1.rpy	1707	an "[what]"
act1_b95d9262	an	I'll go first. You two assemble a search party for the forest in the meantime. I'll lead the search once you're ready.	game/scripts/acts/act1.rpy	1709	an "[what]"
act1_a3bdcb75	an	Ilona. You have until sundown. Prove that Edwin is innocent, or I'm going to personally make sure you won't like what’s coming to the two of you.	game/scripts/acts/act1.rpy	1712	an "[what]"
act2_d4d1eea3		Ilona takes a look once more at the corpses of Salome and Uldin.	game/scripts/acts/act2.rpy	31	"[what]"
act2_2537e4a8		Kellac examined the bodies when Edwin was being escorted to the dungeon.	game/scripts/acts/act2.rpy	33	"[what]"
act2_7121ef7f		According to Anari, his role as a physician was extensive and he treated many people during the war.	game/scripts/acts/act2.rpy	35	"[what]"
act2_aa852085		This also meant that he's seen many corpses, making him considerably accurate in determining the time of death.	game/scripts/acts/act2.rpy	37	"[what]"
act2_0076842d		The methods and reasons for their death are clear. To do a further examination, Kellac would have to perform an autopsy.	game/scripts/acts/act2.rpy	39	"[what]"
act2_858e358e		From what Ilona can see, Uldin died of blood loss from a wound to his neck, and Salome shows signs of burns surpassing the third degree.	game/scripts/acts/act2.rpy	50	"[what]"
act2_10865111		There's swelling at her neck and spine; possibly a fracture. Both of them died at around the same time, shortly before they entered the room to witness the gruesome scenario.	game/scripts/acts/act2.rpy	52	"[what]"
act2_1f759073	il	(Could Salome have survived that attack, even for just a moment?)	game/scripts/acts/act2.rpy	64	il "[what]"
act2_14d90650		Ilona looks around the room and sees the scorched walls and destroyed tapestries and paintings.	game/scripts/acts/act2.rpy	66	"[what]"
act2_d7169acc	il	(Apparently, Uldin was capable of using fire magic. Did Salome get caught in his attack? I can't really imagine that happening.)	game/scripts/acts/act2.rpy	68	il "[what]"
act2_4904d8db		Ilona tries to find anything else in the room that could have been used. On the nightstand, there's a candle turned over. Droplets of now-hard wax mar the wood surface. 	game/scripts/acts/act2.rpy	79	"[what]"
act2_6fa2aaec		The burns scorching the wall and room seem too significant to come from just a candle. Near the bed and on the floor are traces of fur. Some of it is burnt.	game/scripts/acts/act2.rpy	81	"[what]"
act2_bfd7a8eb	an	Anything out of place?	game/scripts/acts/act2.rpy	84	an "[what]"
act2_0fbb5ea1	il	There's traces of fur, but that's about it. What about the other rooms?	game/scripts/acts/act2.rpy	88	il "[what]"
act2_995ffc44	an	Eisleigh told me there was something that felt out of place in Fleur's room. I'll also let you look through Salome's room.	game/scripts/acts/act2.rpy	91	an "[what]"
act2_86ec9717		Ilona decides to look in Salome's room first, the room closest to the master's chambers. The room is bright, orderly and spacious; and partly serves as Salome's study.	game/scripts/acts/act2.rpy	100	"[what]"
act2_d6e770de		The most prominent part of the room is a writing table, items left strewn upon it as though she was in the middle of an important task.	game/scripts/acts/act2.rpy	102	"[what]"
act2_836cf9c3	il	She asked you to go over the events of the day with her, after she met with us. I assume you came to her room, Anari?	game/scripts/acts/act2.rpy	110	il "[what]"
act2_1f6e4ee0	an	Correct. I gave my report about seeing you and Edwin for the lady's record-keeping. The one thing that's not where it should be is the chest. Though…	game/scripts/acts/act2.rpy	113	an "[what]"
act2_6cb267c5	il	What is it? Please, don't hold back.	game/scripts/acts/act2.rpy	120	il "[what]"
act2_97dc4de9	an	I don't think it has anything to do with the murders. That chest is meant for Fleur when she is married. Salome had it made recently.	game/scripts/acts/act2.rpy	125	an "[what]"
act2_deb8cd7a	an	It's natural she might have moved it since I was last here. She did worry about Fleur's future, after all… Salome was still considering which items should go inside. 	game/scripts/acts/act2.rpy	131	an "[what]"
act2_8530679d		It surprises Ilona that Anari is suddenly so candid. Salome and Anari were closer in age, and it made sense that Anari acted as Salome's confidant.	game/scripts/acts/act2.rpy	133	"[what]"
act2_00c7a59d		They then move to investigate Fleur's room. Ilona couldn't help but be curious about what Anari said earlier. Opening the young girl's room, both of them notice a distinct lump in the bed.	game/scripts/acts/act2.rpy	142	"[what]"
act2_5cb8dcec		Ilona looks at Anari. They agree silently to move closer.	game/scripts/acts/act2.rpy	144	"[what]"
act2_fffccd97		Anari does not pay any heed to the room's whimsical decor, but Ilona can't help but steal glances at the spectacle of floral and woodland motifs in her belongings as they pass through.	game/scripts/acts/act2.rpy	146	"[what]"
act2_1beb9037		Last night, Ilona never thought too much of Fleur's fascination with strange and mythic tales, especially regarding the fair folk.	game/scripts/acts/act2.rpy	148	"[what]"
act2_b7e7a782		She thought it to be just a passing interest. Her room speaks otherwise; the girl seems utterly devoted to tales of fantasy.	game/scripts/acts/act2.rpy	150	"[what]"
act2_71ffcb4a		When they reach the bed, Ilona isn't sure what to expect.	game/scripts/acts/act2.rpy	152	"[what]"
act2_74ed2465		Anari remains behind her and nods, indicating for Ilona to pull back the covers. Ilona can see something that looks like it is carved from wood.	game/scripts/acts/act2.rpy	154	"[what]"
act2_bbd614a6		It resembles a wood statue, or an effigy.	game/scripts/acts/act2.rpy	162	"[what]"
act2_fb87ca3b		The face looks eerily like Fleur, her expression mysterious — neither happy nor sad. The rest of the body looks as though it remains trapped inside a still-living tree.	game/scripts/acts/act2.rpy	164	"[what]"
act2_844c4a58	an	Impossible…	game/scripts/acts/act2.rpy	172	an "[what]"
act2_34fce315		Anari does not say anything else, but moves back from the effigy. Her hand is balled into a fist, and is shaking either from rage or fear.	game/scripts/acts/act2.rpy	174	"[what]"
act2_fc8145db	an	I-I've seen quite enough. I don't want to remain in this ghastly room.	game/scripts/acts/act2.rpy	178	an "[what]"
act2_1b16204f		She turns immediately on her heel. The sudden reaction surprises Ilona, and she is unsure whether to follow or not.	game/scripts/acts/act2.rpy	185	"[what]"
act2_d9182ec8		Finding nothing else of note in the room, Ilona rejoins Anari. She finds Anari with her back pressed to the wall, steadily taking deep breaths.	game/scripts/acts/act2.rpy	199	"[what]"
act2_78624a88		For a woman who seemed to fear nothing, Ilona can’t fathom why Anari look so scared at that moment.	game/scripts/acts/act2.rpy	201	"[what]"
act2_fa8f7fd5	il	Anari… you don’t look too well. I think we should pause our investigation for the moment.	game/scripts/acts/act2.rpy	205	il "[what]"
act2_e741ca1b	il	Umm… would you like some tea?	game/scripts/acts/act2.rpy	208	il "[what]"
act2_3f2c1808	an	...Tea?	game/scripts/acts/act2.rpy	211	an "[what]"
act2_e173c565	an	Does it look like I’m in the mood for some tea right now? In the middle of this mess? Is there something wrong with your head, Sister? Have you forgotten the situation we find ourselves in?	game/scripts/acts/act2.rpy	217	an "[what]"
act2_28272276	an	Or are you trying to lace my drink with-	game/scripts/acts/act2.rpy	220	an "[what]"
act2_b88e45d0	il	I can assure you, it’s none of that. I want to find the culprit as much as you do. But I’ll need your help for that.	game/scripts/acts/act2.rpy	223	il "[what]"
act2_09c19195	il	I only wish to see that you’re in good health to proceed, so I thought we could take a quick break-	game/scripts/acts/act2.rpy	225	il "[what]"
act2_b390d6c7	an	With some tea, I get it. Very well, I must tell you that I despise the leaves from this country, so you'd better make a damn fine cup.	game/scripts/acts/act2.rpy	228	an "[what]"
act2_1a73e2d2	il	Are there any to your taste?	game/scripts/acts/act2.rpy	231	il "[what]"
act2_7cf98537	an	…Fine black tea, with bitter orange. I think Uldin had some in his pantry.	game/scripts/acts/act2.rpy	236	an "[what]"
act2_0c8d636a		Both of them fall silent. There is nobody in the house who can say what to do with Uldin's possessions… Anari isn't even sure if he left a will.	game/scripts/acts/act2.rpy	240	"[what]"
act2_a9f68539		Uldin isn't around anymore to enjoy what he had in life, that is certain.	game/scripts/acts/act2.rpy	242	"[what]"
act2_d2ea9a52		Anari goes into the pantry and finds some tea bricks sealed in a container. She was sure that last night, Salome and Fleur did talk about this kind of tea.	game/scripts/acts/act2.rpy	244	"[what]"
act2_49589b50		Ilona, feeling some remorse as though the two of them were bandits, prepares the deceased man's tea according to Anari's instruction.	game/scripts/acts/act2.rpy	246	"[what]"
act2_55588618		Trying her best to be hospitable Ilona also serves it with milk and sugar, as Fleur did.	game/scripts/acts/act2.rpy	248	"[what]"
act2_2b8ffe1c	il	Here you go. Please, have some.	game/scripts/acts/act2.rpy	260	il "[what]"
act2_2d8870d1		Ilona serves tea to Anari. As expected, Anari does not take any of the milk or sugar.	game/scripts/acts/act2.rpy	262	"[what]"
act2_97da6e91	extend	 In contrast, Ilona puts a generous amount of both in hers. The taste was far too bitter for her to enjoy so early in the morning.	game/scripts/acts/act2.rpy	264	extend "[what]"
act2_6e353178		Anari leans back in her chair, closing her eyes and taking in the aroma. She takes a sip before putting her tea cup down elegantly, without even the slightest clatter.	game/scripts/acts/act2.rpy	267	"[what]"
act2_218d5057		Ilona follows suit, but she is not nearly as graceful. Anari rubs her temples with the tips of her fingers before speaking again.	game/scripts/acts/act2.rpy	270	"[what]"
act2_a9185d84	an	Not bad. Tell me, are all nuns this annoying?	game/scripts/acts/act2.rpy	273	an "[what]"
act2_ff3eb2a5	il	Pardon me?	game/scripts/acts/act2.rpy	276	il "[what]"
act2_8ddf271f	an	Whatever you're trying to do is futile. Re-examining the corpses or the rooms won't change anything — Edwin was the one who killed them.	game/scripts/acts/act2.rpy	279	an "[what]"
act2_3188e408	il	What makes you so sure of that?	game/scripts/acts/act2.rpy	282	il "[what]"
act2_88105179	an	I heard the details from Kellac and Eisleigh.	game/scripts/acts/act2.rpy	284	an "[what]"
act2_721789b0		Anari details how the events played out: Salome screamed.	game/scripts/acts/act2.rpy	291	"[what]"
act2_9d4700bb	extend	 It was heard by Kellac and Ilona who were sleeping on the floor below. Edwin was not in his room.	game/scripts/acts/act2.rpy	298	extend "[what]"
act2_37aca9f5		Therefore, Edwin was already inside the master's chambers at the time of the murder.	game/scripts/acts/act2.rpy	314	"[what]"
act2_937ead47		It would take some time for a person sleeping below the master's chambers to make it to the servants quarters, which is on the opposite end of the manse.	game/scripts/acts/act2.rpy	318	"[what]"
act2_9fa95e0e		Since Anari was on duty for her job as the head of the town guard, she could not possibly be at the crime scene during the murder.	game/scripts/acts/act2.rpy	320	"[what]"
act2_ce21cafd	an	Everyone's locations were accounted for:	game/scripts/acts/act2.rpy	331	an "[what]"
act2_e54925bd	an	I was on patrol as the head of the town guard. Kellac was the first one to react to the scream, followed by you. Eisleigh was in her room.	game/scripts/acts/act2.rpy	333	an "[what]"
act2_c0610e4e	an	Each of us were able to confirm each others' locations at the time of the murder. The only one who couldn't be found was Edwin.	game/scripts/acts/act2.rpy	336	an "[what]"
act2_b1182eb0	il	How do you suppose that everyone is saying the absolute truth?	game/scripts/acts/act2.rpy	339	il "[what]"
act2_3606f234	il	Kellac could have acted as if he had witnessed the murder. We have no account of what he was doing before that.	game/scripts/acts/act2.rpy	343	il "[what]"
act2_a6b8729f	il	There was also nobody around to confirm that Eisleigh was not at the crime scene, and I found her alone.	game/scripts/acts/act2.rpy	345	il "[what]"
act2_7cf5e47d	il	And finally, where was Fleur? You do understand where I’m coming from, yes?	game/scripts/acts/act2.rpy	348	il "[what]"
act2_c058bd63	an	...I do. You’re smarter than you look, nun.	game/scripts/acts/act2.rpy	352	an "[what]"
act2_99727537	an	Indeed, Fleur was missing at the time of the murder. Nobody had seen her enter, or exit the manse. I'll give you that much, but I highly doubt she could be the murderer. She's far too frail.	game/scripts/acts/act2.rpy	354	an "[what]"
act2_bc9f11d5	il	The door was destroyed in the time it took for Eisleigh and I to return. How do you explain that?	game/scripts/acts/act2.rpy	357	il "[what]"
act2_ab37f32e	an	Does the door being destroyed really mean anything? It doesn't change the fact that Edwin was at the crime scene. Transformed.	game/scripts/acts/act2.rpy	361	an "[what]"
